platform_specific_name,standard_name
medal,3rd_place_medal
medal,2nd_place_medal
medal,1st_place_medal
+1,thumbs_up
-1,thumbs_down
100,hundred_points
1234,input_numbers
ab,ab_button_(blood_type)
abc,input_latin_letters
abcd,input_latin_lowercase
art,artist_palette
astonished,astonished_face
atm,atm_sign
athletic shoe,running_shoe
b,b_button_(blood_type)
bamboo,tanabata_tree
bangbang,double_exclamation_mark
barber,barber_pole
bath,person_taking_bath
beach umbrella,umbrella_on_ground
beer,beer_mug
beers,clinking_beer_mugs
man biking,man_biking
woman biking,woman_biking
blush,smiling_face_with_smiling_eyes
boat,sailboat
book,open_book
boom,collision
bulb,light_bulb
bus stop,bus_stop
capital abcd,input_latin_uppercase
car,automobile
p,p_button
soon,soon_arrow
champagne,bottle_with_popping_cork
chart,chart_increasing
checkered flag,chequered_flag
cheese,cheese_wedge
cl,cl_button
clap,clapping_hands
sos,sos_button
lock with key,locked_with_key
cocktail,cocktail_glass
coffee,hot_beverage
computer,desktop_computer
computer_mouse,computer_mouse
confounded,confounded_face
confused,confused_face
construction_worker,construction_worker
control_knobs,control_knobs
cool,cool_button
cop,police_officer
corn,ear_of_corn
cow,cow_face
cry,crying_face
cupid,heart_with_arrow
curry,curry_rice
dancer,woman_dancing
dancers,people_with_bunny_ears
dark_sunglasses,sunglasses
dash,sweat_droplets
date,calendar
diamonds,diamond_suit
disappointed,disappointed_face
disappointed_relieved,sad_but_relieved_face
do_not_litter,no_littering
dog,dog_face
ear_of_rice,sheaf_of_rice
end,end_arrow
euro banknotes,euro_banknote
post office,post_office
expressionless,expressionless_face
eyeglasses,glasses
facepunch,oncoming_fist
feet,footprints
woman detective,woman_detective
fishing,fishing_pole
fist,raised_fist
fist bump,oncoming_fist
five,keycap_5
floppy_disk,floppy_disk
flower_playing_cards,flower_playing_cards
flushed,flushed_face
football,soccer_ball
four,keycap_4
free,free_button
fried_egg,cooking
fries,french_fries
frowning,frowning_face
man frowning,man_frowning
woman frowning,woman_frowning
middle finger,middle_finger
fuel pump,fuel_pump
gift,wrapped_gift
gift_heart,heart_with_ribbon
golf,flag_in_hole
grey exclamation,white_exclamation_mark
grey question,white_question_mark
grimacing,grimacing_face
grin,grinning_face_with_big_eyes
grinning,grinning_face
haircut,person_getting_haircut
man getting haircut,man_getting_haircut
woman getting haircut,woman_getting_haircut
hand,raised_hand
pile of poo,pile_of_poo
hash,keycap_#
headphones,headphone
heart,red_heart
heartbeat,beating_heart
growing heart,growing_heart
hearts,heart_decoration
check mark,check_mark
heart exclamation,heart_exclamation
high brightness,bright_button
hocho,kitchen_knife
hot springs,hot_springs
hourglass,hourglass_done
hourglass,hourglass_not_done
house_abandoned,derelict_house
hushed,hushed_face
ice cream,ice_cream
id,id_button
imp,angry_face_with_horns
iphone,mobile_phone
island,desert_island
izakaya_lantern,red_paper_lantern
joy_cat,cat_with_tears_of_joy
keycap_ten,keycap_10
kissing face,kissing_face
kiss smiling eyes,kissing_face_with_smiling_eyes
last quarter moon face,last_quarter_moon_face
laughing,face_with_tears_of_joy
leaves,leaf_fluttering_in_wind
left hook,right_arrow_curving_left
lips,mouth
loudspeaker,speaker_high_volume
low brightness,dim_button
magnifying glass,magnifying_glass_tilted_left
magnifying,magnifying_glass_tilted_right
mahjong,mahjong_red_dragon
mailbox,closed_mailbox_with_raised_flag
closed mailbox,closed_mailbox_with_lowered_flag
empty mailbox,open_mailbox_with_lowered_flag
mandarin,tangerine
massage,person_getting_massage
man getting massage,man_getting_massage
woman getting massage,woman_getting_massage
meat,meat_on_bone
military medal,military_medal
medal,sports_medal
sign of the horns,sign_of_the_horns
minidisc,computer_disk
money,money_bag
moon,waxing_gibbous_moon
mortar board,graduation_cap
man mountain biking,man_mountain_biking
woman mountain biking,woman_mountain_biking
mute,muted_speaker
nail care,nail_polish
cross mark,cross_mark_button
new moon face,new_moon_face
nine,keycap_9
no mouth,face_without_mouth
musical notes,musical_notes
ocean,water_wave
office,office_building
partly_sunny,sun_behind_cloud
phone,telephone
pig,pig_face
fork and knife with plate,fork_and_knife_with_plate
person pouting,person_pouting
pouch,clutch_bag
man pouting,man_pouting
woman pouting,woman_pouting
pound notes,pound_banknote
pray,folded_hands
previous track,last_track_button
rabbit,rabbit_face
horse racing,horse_racing
raised hands,raising_hands
raising hand,person_raising_hand
man raising hand,man_raising_hand
woman raising hand,woman_raising_hand
ramen,steaming_bowl
recycle,recycling_symbol
relieved,relieved_face
repeat,repeat_button
repeat one,repeat_single_button
rewind,fast_reverse_button
rice,cooked_rice
rolling eyes,face_with_rolling_eyes
rotating light,police_car_light
running,person_running
man running,man_running
running shirt,running_shirt
woman running,woman_running
scream,face_screaming_in_fear
scream cat,weary_cat
seven,keycap_7
sheep,ewe
shell,spiral_shell
shopping bags,shopping_bags
signal_strength,antenna_bars
six,keycap_6
sleeping,sleeping_face
in bed,person_in_bed
sleepy,sleepy_face
red triangle up,red_triangle_pointed_up
red triangle down,red_triangle_pointed_down
smile,grinning_face_with_big_eyes
smile_cat,grinning_cat
smiley,slightly_smiling_face
smiling_imp,smiling_face_with_horns
smirk,smirking_face
smirk_cat,cat_with_wry_smile
smoking,cigarette
sob,loudly_crying_face
soccer,soccer_ball
sound,speaker_medium_volume
space invader,alien_monster
spades,spade_suit
speaker,speaker_low_volume
seeing stars,glowing_star
steam locomotive,locomotive
stew,pot_of_food
stuck_out_tongue,face_with_tongue
stuck_out_tongue_closed_eyes,squinting_face_with_tongue
stuck out tongue wink,winking_face_with_tongue
sunny,sun
sweet potato,roasted_sweet_potato
symbols,input_symbols
tada,party_popper
tea,teacup_without_handle
thinking,thinking_face
three,keycap_3
tiger,tiger_face
tm,trade_mark
top hat,top_hat
traffic light,horizontal_traffic_light
railway car,railway_car
triangular flag,triangular_flag
trident,trident_emblem
triumph,face_with_steam_from_nose
truck,delivery_truck
tv,television
shuffle,shuffle_tracks_button
two,keycap_2
two men holding hands,men_holding_hands
two women holding hands,women_holding_hands
unamused,unamused_face
victory,victory_hand
vhs,videocassette
walking,person_walking
man walking,man_walking
woman walking,woman_walking
wave,waving_hand
black flag,black_flag
white flag,white_flag
wc,water_closet
weary,weary_face
man lifting weights,man_lifting_weights
woman lifting weights,woman_lifting_weights
checkbox,check_mark_button
wink,winking_face
woman wearing turban,woman_wearing_turban
worried,worried_face
x,cross_mark
yen banknotes,yen_banknote
yum,face_savoring_food
zap,high_voltage
zero,keycap_0
zip it,zipper_mouth_face
yellow large square,yellow_square
writing,writing_hand
sandal,woman’s_sandal
hat,woman’s_hat
flag afghanistan,afghanistan
flag albania,albania
flag algeria,algeria
flag american samoa,american_samoa
flag andorra,andorra
flag angola,angola
flag anguilla,anguilla
flag antarctica,antarctica
flag antigua and barbuda,antigua_&_barbuda
flag argentina,argentina
flag armenia,armenia
flag aruba,aruba
flag ascension island,ascension_island
flag australia,australia
flag austria,austria
flag azerbaijan,azerbaijan
flag bahamas,bahamas
flag bahrain,bahrain
flag bangladesh,bangladesh
flag barbados,barbados
flag belarus,belarus
flag belgium,belgium
flag belize,belize
flag benin,benin
flag bermuda,bermuda
flag bhutan,bhutan
flag bolivia,bolivia
flag bosnia and herzegovina,bosnia_&_herzegovina
flag botswana,botswana
flag bouvet island,bouvet_island
flag brazil,brazil
flag british indian ocean territory,british_indian_ocean_territory
flag british virgin islands,british_virgin_islands
flag brunei,brunei
flag bulgaria,bulgaria
flag burkina faso,burkina_faso
flag burundi,burundi
flag cambodia,cambodia
flag cameroon,cameroon
flag canada,canada
flag canary islands,canary_islands
flag cape verde,cape_verde
flag cayman islands,cayman_islands
flag central african republic,central_african_republic
flag ceuta and melilla,ceuta_&_melilla
flag chad,chad
flag chile,chile
flag china,china
flag christmas island,christmas_island
flag clipperton island,clipperton_island
flag colombia,colombia
flag comoros,comoros
flag congo brazzaville,congo_brazzaville
flag congo kinshasa,congo_kinshasa
flag cook islands,cook_islands
flag costa rica,costa_rica
flag croatia,croatia
flag cuba,cuba
flag curaçao,curaçao
flag cyprus,cyprus
flag czechia,czechia
flag denmark,denmark
flag diego garcia,diego_garcia
flag djibouti,djibouti
flag dominica,dominica
flag dominican republic,dominican_republic
flag ecuador,ecuador
flag egypt,egypt
flag el salvador,el_salvador
flag england,england
flag equatorial guinea,equatorial_guinea
flag eritrea,eritrea
flag estonia,estonia
flag ethiopia,ethiopia
flag eswatini,eswatini
flag european union,european_union
flag faroe islands,faroe_islands
flag falkland islands,falkland_islands
flag fiji,fiji
flag finland,finland
flag france,france
flag french guiana,french_guiana
flag french polynesia,french_polynesia
flag french southern territories,french_southern_territories
flag gabon,gabon
flag gambia,gambia
flag georgia,georgia
flag germany,germany
flag gibraltar,gibraltar
flag greece,greece
flag ghana,ghana
flag greenland,greenland
flag grenada,grenada
flag guadeloupe,guadeloupe
flag guam,guam
flag guatemala,guatemala
flag guernsey,guernsey
flag guinea,guinea
flag guinea bissau,guinea_bissau
flag guyana,guyana
flag haiti,haiti
flag heard and mcdonald islands,heard_&_mcdonald_islands
flag honduras,honduras
flag hong kong sar china,hong_kong_sar_china
flag hungary,hungary
flag iceland,iceland
flag india,india
flag indonesia,indonesia
flag iran,iran
flag iraq,iraq
flag isle of man,isle_of_man
flag italy,italy
flag israel,israel
flag jamaica,jamaica
flag japan,japan
flag jersey,jersey
flag jordan,jordan
flag kazakhstan,kazakhstan
flag kenya,kenya
flag kiribati,kiribati
flag kosovo,kosovo
flag kuwait,kuwait
flag kyrgyzstan,kyrgyzstan
flag laos,laos
flag latvia,latvia
flag lebanon,lebanon
flag lesotho,lesotho
flag liberia,liberia
flag libya,libya
flag liechtenstein,liechtenstein
flag lithuania,lithuania
flag luxembourg,luxembourg
flag macao sar china,macao_sar_china
flag madagascar,madagascar
flag malawi,malawi
flag malaysia,malaysia
flag maldives,maldives
flag mali,mali
flag malta,malta
flag marshall islands,marshall_islands
flag martinique,martinique
flag mauritania,mauritania
flag mayotte,mayotte
flag mexico,mexico
flag micronesia,micronesia
flag moldova,moldova
flag monaco,monaco
flag mongolia,mongolia
flag montenegro,montenegro
flag montserrat,montserrat
flag morocco,morocco
flag mozambique,mozambique
flag myanmar burma,myanmar_(burma)
flag namibia,namibia
flag nauru,nauru
flag nepal,nepal
flag netherlands,netherlands
flag new caledonia,new_caledonia
flag new zealand,new_zealand
flag nicaragua,nicaragua
flag niger,niger
flag niue,niue
flag norfolk island,norfolk_island
flag north korea,north_korea
flag north macedonia,north_macedonia
flag northern mariana islands,northern_mariana_islands
flag norway,norway
flag oman,oman
flag pakistan,pakistan
flag palau,palau
flag palestinian territories,palestinian_territories
flag panama,panama
flag papua new guinea,papua_new_guinea
flag paraguay,paraguay
flag peru,peru
flag philippines,philippines
flag pitcairn islands,pitcairn_islands
flag poland,poland
flag portugal,portugal
flag puerto rico,puerto_rico
flag qatar,qatar
flag romania,romania
flag rwanda,rwanda
flag réunion,réunion
flag samoa,samoa
flag san marino,san_marino
flag saudi arabia,saudi_arabia
flag scotland,scotland
flag senegal,senegal
flag serbia,serbia
flag seychelles,seychelles
flag sierra leone,sierra_leone
flag singapore,singapore
flag sint maarten,sint_maarten
flag slovakia,slovakia
flag slovenia,slovenia
flag solomon islands,solomon_islands
flag somalia,somalia
flag south africa,south_africa
flag south georgia and south sandwich islands,south_georgia_&_south_sandwich_islands
flag south korea,south_korea
flag south sudan,south_sudan
flag spain,spain
flag sri lanka,sri_lanka
flag st barthélemy,st._barthélemy
flag st helena,st._helena
flag st kitts and nevis,st._kitts_&_nevis
flag st lucia,st._lucia
flag st martin,st._martin
flag st pierre and miquelon,st._pierre_&_miquelon
flag st vincent and grenadines,st._vincent_&_grenadines
flag sudan,sudan
flag suriname,suriname
flag svalbard and jan mayen,svalbard_&_jan_mayen
flag sweden,sweden
flag switzerland,switzerland
flag syria,syria
flag taiwan,taiwan
flag tajikistan,tajikistan
flag tanzania,tanzania
flag thailand,thailand
flag timor leste,timor_leste
flag togo,togo
flag tokelau,tokelau
flag tonga,tonga
flag trinidad and tobago,trinidad_&_tobago
flag tristan da cunha,tristan_da_cunha
flag tunisia,tunisia
flag turkmenistan,turkmenistan
flag turks and caicos islands,turks_&_caicos_islands
flag tuvalu,tuvalu
flag us outlying islands,u.s._outlying_islands
flag us virgin islands,u.s._virgin_islands
flag uganda,uganda
flag ukraine,ukraine
flag united arab emirates,united_arab_emirates
flag united kingdom,united_kingdom
flag united nations,united_nations
flag united states,united_states
flag uruguay,uruguay
flag uzbekistan,uzbekistan
flag vanuatu,vanuatu
flag vatican city,vatican_city
flag venezuela,venezuela
flag vietnam,vietnam
flag wales,wales
flag wallis and futuna,wallis_&_futuna
flag western sahara,western_sahara
